,id,sentence,subject_entity,object_entity,label
938,988,탈피(脫皮)는 갑각류 같은 절지동물이 하는 성장 행동 중 하나이다.,"{'word': '갑각류', 'start_idx': 8, 'end_idx': 10, 'type': 'CLS'}","{'word': '탈피', 'start_idx': 0, 'end_idx': 1, 'type': 'PHY'}",생물분류:특징
723,762,"이중 가장 자주 등장한 나비는 호랑나비(9점)로, 배추흰나비(7점)와 제비나비(6점)가 그 뒤를 이었다.","{'word': '호랑나비', 'start_idx': 17, 'end_idx': 20, 'type': 'INS'}","{'word': '제비나비', 'start_idx': 39, 'end_idx': 42, 'type': 'INS'}",관계없음
785,834,"하루살이의 애벌레 시기에는 탈피 횟수가 많아 일반적으로 10회 이상, 때로는 40회에 이르는 것도 있다.","{'word': '하루살이의 애벌레', 'start_idx': 0, 'end_idx': 8, 'type': 'INS'}","{'word': '탈피', 'start_idx': 15, 'end_idx': 16, 'type': 'PHY'}",곤충:특성
403,407,이것은 개미 성충끼리도 '사회적 위'에 저장된 먹이를 서로 나누어줄 수 있는 방법이다.,"{'word': '개미', 'start_idx': 4, 'end_idx': 5, 'type': 'INS'}","{'word': '사회적 위', 'start_idx': 14, 'end_idx': 18, 'type': 'PHY'}",곤충:특성
812,861,에오세에 살던 개미종 가운데서 10개 속(屬) 중 하나는 현존하고 있다.,"{'word': '에오세에 살던 개미종', 'start_idx': 0, 'end_idx': 10, 'type': 'CLS'}","{'word': '10개 속', 'start_idx': 17, 'end_idx': 21, 'type': 'NOH'}",생물분류:개체수
1081,1132,"레몬을 짜듯 물에 넣고 짓이겨 만드는데, ""노스 퀸즐랜드 원주민들은 이 꿀단지개미로 맛있고 신 맛이 나는 음료를 만들어 즐기며 매우 좋아했으며, 이것은 유럽인들 입맛에도 맞는다."".","{'word': '꿀단지개미', 'start_idx': 40, 'end_idx': 44, 'type': 'INS'}","{'word': '노스 퀸즐랜드 원주민', 'start_idx': 24, 'end_idx': 34, 'type': 'NOI'}",관계없음
646,663,사슴벌레()는 사슴벌레과에 속하는 곤충이다.,"{'word': '사슴벌레과', 'start_idx': 8, 'end_idx': 12, 'type': 'CLS'}","{'word': '사슴벌레', 'start_idx': 0, 'end_idx': 3, 'type': 'INS'}",생물분류:하위분류
781,830,"종령 단계에서 우화한 것은 사실 하루살이의 성충이 아니라 '아성충'(버금어른벌레, subimago)으로 불리는데, 하루살이의 아성충은 날아오른 후 다른 곳에서 다시 탈피를 하여 성적으로 성숙한 진짜 하루살이의 성충이 된다.","{'word': '하루살이의 아성충', 'start_idx': 64, 'end_idx': 72, 'type': 'INS'}","{'word': '탈피', 'start_idx': 92, 'end_idx': 93, 'type': 'PHY'}",곤충:특성
695,725,실제로 이러한 주장은 나름의 설득력을 갖추고 있어서 근간에 두 개의 목은 아목 수준으로 바뀌어 무시귀뚜라미붙이목 안으로 편재될 것으로 보인다.,"{'word': '무시귀뚜라미붙이목', 'start_idx': 53, 'end_idx': 61, 'type': 'CLS'}","{'word': '주장', 'start_idx': 8, 'end_idx': 9, 'type': 'POH'}",관계없음
559,563,"집게턱은 아노케투스(""Anochetus""), 오렉토그나투스(""Orectognathus""), 스트루미게니스(""Strumigenys"")종이나, 수렴 진화의 사례로 보이는 다케티니(Dacetini)족 일부에게서도 찾아 볼 수 있다.","{'word': '오렉토그나투스', 'start_idx': 25, 'end_idx': 31, 'type': 'CLS'}","{'word': '집게턱', 'start_idx': 0, 'end_idx': 2, 'type': 'PHY'}",생물분류:특징
250,253,"모기가 매개하는 질병은 뇌염·말라리아(학질)·필라리아(상피병)·일본뇌염·황열병 등이며 전 세계에 약 3,000종 가량이 알려져 있다.","{'word': '모기', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '필라리아', 'start_idx': 25, 'end_idx': 28, 'type': 'POH'}",곤충:특성
973,1023,개미는 제3기 초의 적응방산이후 우세종이 되었다.,"{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '제3기 초의 적응방산', 'start_idx': 4, 'end_idx': 14, 'type': 'DAT'}",관계없음
3,4,개미는 개미 유충에서 번데기를 거쳐 개미 성충이 되는 완전 변태(complete metamorphosis)를 통해 자란다.,"{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '완전 변태', 'start_idx': 30, 'end_idx': 34, 'type': 'PHY'}",곤충:특성
906,955,대부분의 여왕개미와 수개미들은 날개를 갖고 있다.,"{'word': '여왕개미', 'start_idx': 5, 'end_idx': 8, 'type': 'INS'}","{'word': '날개', 'start_idx': 17, 'end_idx': 18, 'type': 'PHY'}",곤충:특성
929,979,"개미의 눈은 움직임에 매우 민감하지만, 가만히 있는 것을 볼때 상이 모자이크처럼 흐리다.","{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '모자이크', 'start_idx': 38, 'end_idx': 41, 'type': 'POH'}",관계없음
662,685,무당벌레는 포식자로부터 스스로를 보호하기 위한 독이 있다.,"{'word': '무당벌레', 'start_idx': 0, 'end_idx': 3, 'type': 'INS'}","{'word': '독', 'start_idx': 26, 'end_idx': 26, 'type': 'PHY'}",곤충:특성
612,625,"파리목(Diptera)은 파리, 모기, 등에 등이 속해 있는 곤충의 한 분류이다.","{'word': '파리목', 'start_idx': 0, 'end_idx': 2, 'type': 'CLS'}","{'word': '등에', 'start_idx': 22, 'end_idx': 23, 'type': 'INS'}",생물분류:하위분류
907,956,새로 짝짓기한 여왕개미는 날아가서 새로운 집을 만들거나 원래의 집단으로 돌아온다.,"{'word': '여왕개미', 'start_idx': 8, 'end_idx': 11, 'type': 'INS'}","{'word': '짝짓기', 'start_idx': 3, 'end_idx': 5, 'type': 'NOP'}",곤충:특성
187,190,"쉽게 말하자면, 황열병이나 뎅기열 같은 아르보바이러스성 질병은 보통모기아과에 의해 전염되는 경향이 있으나, 반드시 집모기(""Culex"")로 전염되는 것은 아니다.","{'word': '집모기', 'start_idx': 64, 'end_idx': 66, 'type': 'INS'}","{'word': '황열병', 'start_idx': 9, 'end_idx': 11, 'type': 'POH'}",관계없음
883,932,한국에는 137종의 개미가 서식하고 있다.,"{'word': '개미', 'start_idx': 11, 'end_idx': 12, 'type': 'INS'}","{'word': '한국', 'start_idx': 0, 'end_idx': 1, 'type': 'LOC'}",곤충:서식지
159,162,"소금쟁이는 주로 수면 위에서 생활하는데, 소금쟁이가 물에 뜰 수 있는 이유는 다리 끝부분에 많은 잔털들에 기름기가 있어 물에 뜰 수 있는 것이다.","{'word': '소금쟁이', 'start_idx': 23, 'end_idx': 26, 'type': 'INS'}","{'word': '잔털', 'start_idx': 54, 'end_idx': 55, 'type': 'PHY'}",곤충:특성
465,469,"이 개미는 새총처럼 턱을 써서 침입자를 몰아내거나, 스스로 자신의 몸을 뒤로 던저 위험에서 벗어난다.","{'word': '개미', 'start_idx': 2, 'end_idx': 3, 'type': 'INS'}","{'word': '턱', 'start_idx': 11, 'end_idx': 11, 'type': 'PHY'}",곤충:특성
449,453,"개미집은 땅, 돌이나 나무 밑, 나무 안, 빈 줄기, 심지어 도토리 속에도 있다.","{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '땅', 'start_idx': 5, 'end_idx': 5, 'type': 'LOC'}",곤충:서식지
1154,1208,"전세계적으로 해충으로 분류되는 개미로는 도로개미(""Tetramorium caespitum"". 주름개미속의 일종) 노랑미친개미(""Anoplolepis gracilipes""), 설탕개미(""Camponotus consobrinus"". 왕개미의 일종), 애집개미(""Monomorium pharaonis""), 목수개미, 아르헨티나 개미(""Linepithema humile""), 코코넛개미(""Tapinoma sessile""), 붉은불개미(""Solenopsis invicta"". 열마디개미의 일종), 유럽불개미(""Myrmica rubra"". 이름과는 달리 뿔개미의 일종)가 있다.","{'word': '뿔개미', 'start_idx': 304, 'end_idx': 306, 'type': ‘INS'}","{'word': '유럽불개미', 'start_idx': 273, 'end_idx': 277, 'type': 'INS'}",곤충:하위분류
217,220,"모기의 천적으로는 성충을 잡아먹는 박쥐, 파리매, 잠자리, 사마귀, 거미가 있고, 유충을 잡아먹는 물방개의 애벌레, 미꾸라지, 물장군의 애벌레, 잠자리의 애벌레, 가물치, 메기, 잉어 등 수중 생물이 있다.","{'word': '모기', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '사마귀', 'start_idx': 33, 'end_idx': 35, 'type': 'INS'}",곤충:천적
800,849,그리고 지구에서 개미의 수는 약 50경마리에서 1000경 마리이다.,"{'word': '개미', 'start_idx': 9, 'end_idx': 10, 'type': 'INS'}","{'word': '50경마리에서 1000경 마리', 'start_idx': 18, 'end_idx': 33, 'type': 'NOH'}",곤충:개체수
1080,1131,매미의 울음소리를 본뜬 의성어 '맴'에 접미사 '-이'를 붙여 '맴이&gt;매미'가 된다.,"{'word': '매미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '울음소리', 'start_idx': 4, 'end_idx': 7, 'type': 'POH'}",곤충:특성
154,157,"바퀴벌레에서 나오는 물질들은 알레르기와 천식, 피부질환을 일으키기도 한다.","{'word': '바퀴벌레', 'start_idx': 0, 'end_idx': 3, 'type': 'INS'}","{'word': '천식', 'start_idx': 22, 'end_idx': 23, 'type': 'POH'}",곤충:특성
1083,1134,"메뚜기목()은 메뚜기, 여치, 귀뚜라미 등이 속하는 곤충의 분류이다.","{'word': '메뚜기목', 'start_idx': 0, 'end_idx': 3, 'type': 'CLS'}","{'word': '여치', 'start_idx': 13, 'end_idx': 14, 'type': 'INS'}",생물분류:하위분류
389,393,"밀림개미(""Cephalotes atratus"") 등 활공할 수 있는 개미 몇몇 종은 나무에 서식하는 개미 대부분 가운데 이런 특성이 흔하다.","{'word': '밀림개미', 'start_idx': 0, 'end_idx': 3, 'type': 'INS'}","{'word': '활공', 'start_idx': 29, 'end_idx': 30, 'type': 'NOP'}",곤충:특성
822,871,"딱정벌레목에 속한 곤충으로는 무당벌레, 딱정벌레, 길앞잡이, 물방개, 장수풍뎅이 등이 있다.","{'word': '딱정벌레목', 'start_idx': 0, 'end_idx': 4, 'type': 'CLS'}","{'word': '무당벌레', 'start_idx': 16, 'end_idx': 19, 'type': 'INS'}",생물분류:하위분류
1159,1215,노린재라는 이름은 자신을 건드리면 방어하기 위해 몸에서 노린내가 풍기기 때문에 붙은 것이다.,"{'word': '노린재', 'start_idx': 0, 'end_idx': 2, 'type': 'INS'}","{'word': '노린내', 'start_idx': 31, 'end_idx': 33, 'type': 'PHY'}",곤충:특성
160,163,"소금쟁이는 주로 수면 위에서 생활하는데, 소금쟁이가 물에 뜰 수 있는 이유는 다리 끝부분에 많은 잔털들에 기름기가 있어 물에 뜰 수 있는 것이다.","{'word': '소금쟁이', 'start_idx': 23, 'end_idx': 26, 'type': 'INS'}","{'word': '기름기', 'start_idx': 59, 'end_idx': 61, 'type': 'PHY'}",곤충:특성
1001,1052,"개미는 광범위한 생태적 지위를 점하고 있으며, 직간접적으로 초식, 포식 혹은 시체 처리를 하며 다양한 먹이 자원을 취할 수 있다.","{'word': '개미', 'start_idx': 0, 'end_idx': 1, 'type': 'INS'}","{'word': '시체 처리', 'start_idx': 43, 'end_idx': 47, 'type': 'POH'}",곤충:특성
712,751,"집게벌레는 배 끝에 미모가 변형된 집게를 갖고 있고, 작은 곤충이나 썩은 낙엽, 부식질 등을 먹는 잡식성이다.","{'word': '집게벌레', 'start_idx': 0, 'end_idx': 3, 'type': 'INS'}","{'word': '작은 곤충', 'start_idx': 30, 'end_idx': 34, 'type': 'INS'}",곤충:먹이
666,694,"물방개 또는 선두리(, , )는 대한민국에 서식하는 물방개과의 곤충 중 가장 큰 종이다.","{'word': '물방개과', 'start_idx': 29, 'end_idx': 32, 'type': 'CLS'}","{'word': '물방개', 'start_idx': 0, 'end_idx': 2, 'type': 'INS'}",생물분류:하위분류
